Player,Stat,Threshold,Percentage
Pascal Siakam,Free Throws Made,4.0,36.666666666666664
Jakob Poeltl,Free Throws Made,0.5,53.333333333333336
Tyrese Maxey,Free Throws Made,5.0,34.48275862068966
Shai Gilgeous-Alexander,Free Throws Made,8.0,32.142857142857146
Chet Holmgren,Free Throws Made,2.5,44.827586206896555
Kevin Durant,Free Throws Made,7.0,42.30769230769231
Devin Booker,Free Throws Made,6.5,47.61904761904761
Miles Bridges,Free Throws Made,3.0,33.33333333333333
Terry Rozier,Free Throws Made,3.5,52.63157894736842
Jalen Brunson,FG Attempted,20.5,50.0
Franz Wagner,FG Attempted,16.5,40.0
Julius Randle,FG Attempted,18.0,43.333333333333336
RJ Barrett,FG Attempted,14.5,56.00000000000001
Kyle Kuzma,FG Attempted,18.5,50.0
Mikal Bridges,FG Attempted,17.0,32.25806451612903
Jordan Poole,FG Attempted,16.0,37.93103448275862
Cam Thomas,FG Attempted,19.0,40.909090909090914
Donovan Mitchell,FG Attempted,22.0,27.27272727272727
Giannis Antetokounmpo,FG Attempted,20.5,46.666666666666664
Damian Lillard,FG Attempted,17.0,48.275862068965516
Trae Young,FG Attempted,20.5,42.857142857142854
De'Aaron Fox,FG Attempted,22.5,43.47826086956522
Dejounte Murray,FG Attempted,17.0,36.666666666666664
Domantas Sabonis,FG Attempted,14.0,34.48275862068966
Scottie Barnes,FG Attempted,16.5,36.666666666666664
Pascal Siakam,FG Attempted,16.5,40.0
Alperen Sengun,FG Attempted,17.0,41.37931034482759
Tyrese Maxey,FG Attempted,20.5,31.03448275862069
Fred VanVleet,FG Attempted,15.0,35.714285714285715
Tobias Harris,FG Attempted,16.0,23.333333333333332
Shai Gilgeous-Alexander,FG Attempted,22.5,28.57142857142857
Chet Holmgren,FG Attempted,13.5,31.03448275862069
Kevin Durant,FG Attempted,17.5,61.53846153846154
Devin Booker,FG Attempted,19.0,57.14285714285714
Miles Bridges,FG Attempted,17.5,38.88888888888889
Terry Rozier,FG Attempted,19.5,47.368421052631575
Paolo Banchero,Pts+Rebs,30.5,23.333333333333332
Jalen Brunson,Pts+Rebs,30.5,33.33333333333333
Franz Wagner,Pts+Rebs,29.5,30.0
Julius Randle,Pts+Rebs,34.5,33.33333333333333
Jalen Suggs,Pts+Rebs,16.5,46.15384615384615
RJ Barrett,Pts+Rebs,20.5,56.00000000000001
Cole Anthony,Pts+Rebs,17.5,63.33333333333333
Isaiah Hartenstein,Pts+Rebs,16.5,23.333333333333332
Wendell Carter Jr.,Pts+Rebs,15.5,40.0
